,date,ticker,instrument_name,open,high,low,close,agg_close
78,2019-01-01 00:00:00,BANKNIFTY03JAN1928900CE.NFO,BANKNIFTY,0.2,0.45,0.2,0.45,0.42
79,2019-01-01 00:00:00,BANKNIFTY03JAN1928900PE.NFO,BANKNIFTY,1800.0,1800.0,1765.0,1780.0,
80,2019-01-01 00:00:00,BANKNIFTY10JAN1925300PE.NFO,BANKNIFTY,7.0,7.0,7.0,7.0,7.0
81,2019-01-01 00:00:00,BANKNIFTY10JAN1925500PE.NFO,BANKNIFTY,13.0,13.0,4.1,4.2,4.15
82,2019-01-01 00:00:00,BANKNIFTY10JAN1925700PE.NFO,BANKNIFTY,2.0,2.15,2.0,2.15,2.15
83,2019-01-01 00:00:00,BANKNIFTY10JAN1925900PE.NFO,BANKNIFTY,14.0,19.8,4.1,19.8,12.18
84,2019-01-01 00:00:00,BANKNIFTY10JAN1926000CE.NFO,BANKNIFTY,1050.0,1400.0,1050.0,1400.0,1400.0
85,2019-01-01 00:00:00,BANKNIFTY10JAN1926000PE.NFO,BANKNIFTY,21.7,29.9,10.0,10.7,10.78
86,2019-01-01 00:00:00,BANKNIFTY10JAN1926100PE.NFO,BANKNIFTY,27.45,33.0,11.1,11.1,11.99
87,2019-01-01 00:00:00,BANKNIFTY10JAN1926200PE.NFO,BANKNIFTY,37.15,39.8,12.0,13.1,15.67
88,2019-01-01 00:00:00,BANKNIFTY10JAN1926300CE.NFO,BANKNIFTY,970.65,970.65,970.65,970.65,
89,2019-01-01 00:00:00,BANKNIFTY10JAN1926300PE.NFO,BANKNIFTY,45.0,51.15,16.15,16.85,20.31
90,2019-01-01 00:00:00,BANKNIFTY10JAN1926400PE.NFO,BANKNIFTY,50.0,63.3,21.75,22.35,25.59
91,2019-01-01 00:00:00,BANKNIFTY10JAN1926500CE.NFO,BANKNIFTY,720.0,981.25,657.05,981.25,935.81
92,2019-01-01 00:00:00,BANKNIFTY10JAN1926500PE.NFO,BANKNIFTY,59.35,78.35,26.5,28.05,32.7
93,2019-01-01 00:00:00,BANKNIFTY10JAN1926600CE.NFO,BANKNIFTY,558.35,887.1,558.35,863.9,875.5
94,2019-01-01 00:00:00,BANKNIFTY10JAN1926600PE.NFO,BANKNIFTY,70.75,98.0,32.75,34.0,39.51
95,2019-01-01 00:00:00,BANKNIFTY10JAN1926700CE.NFO,BANKNIFTY,550.0,550.0,550.0,550.0,
96,2019-01-01 00:00:00,BANKNIFTY10JAN1926700PE.NFO,BANKNIFTY,88.95,121.15,41.0,41.0,49.5
97,2019-01-01 00:00:00,BANKNIFTY10JAN1926800CE.NFO,BANKNIFTY,505.0,702.45,430.05,699.35,673.6
98,2019-01-01 00:00:00,BANKNIFTY10JAN1926800PE.NFO,BANKNIFTY,113.3,147.55,53.95,55.55,64.73
99,2019-01-01 00:00:00,BANKNIFTY10JAN1926900CE.NFO,BANKNIFTY,412.85,636.45,355.2,581.0,617.19
